FILE	ID	TWAS.Z	TWAS.P	JOINT.BETA	JOINT.BETA.SE	JOINT.Z	JOINT.P
/data/songy4/twas/output/weights//ENSG00000173960.wgt.RDat	ENSG00000173960	-4.6	5.1e-06	-4.6	1	-4.6	5.1e-06
/data/songy4/twas/output/weights//ENSG00000213639.wgt.RDat	ENSG00000213639	 4.0	6.3e-05	 4.0	1	 4.0	6.3e-05
/data/songy4/twas/output/weights//ENSG00000198380.wgt.RDat	ENSG00000198380	-4.3	2.1e-05	-4.3	1	-4.3	2.1e-05
/data/songy4/twas/output/weights//ENSG00000172005.wgt.RDat	ENSG00000172005	-4.9	1.2e-06	-4.9	1	-4.9	1.2e-06
/data/songy4/twas/output/weights//ENSG00000115594.wgt.RDat	ENSG00000115594	-4.2	2.9e-05	-4.2	1	-4.2	2.9e-05
/data/songy4/twas/output/weights//ENSG00000152128.wgt.RDat	ENSG00000152128	 7.0	2.4e-12	 7.0	1	 7.0	2.4e-12
/data/songy4/twas/output/weights//ENSG00000204406.wgt.RDat	ENSG00000204406	 4.1	4.5e-05	 4.1	1	 4.1	4.5e-05
/data/songy4/twas/output/weights//ENSG00000198648.wgt.RDat	ENSG00000198648	-6.5	1.1e-10	-6.5	1	-6.5	1.1e-10
/data/songy4/twas/output/weights//ENSG00000151690.wgt.RDat	ENSG00000151690	 4.5	6.2e-06	 4.5	1	 4.5	6.2e-06
/data/songy4/twas/output/weights//ENSG00000065802.wgt.RDat	ENSG00000065802	-4.2	2.7e-05	-4.2	1	-4.2	2.7e-05
