FILE	ID	TWAS.Z	TWAS.P	JOINT.BETA	JOINT.BETA.SE	JOINT.Z	JOINT.P
/data/songy4/twas/output/weights//ENSG00000170175.wgt.RDat	ENSG00000170175	  4.5	8.3e-06	  4.5	1	  4.5	8.2e-06
/data/songy4/twas/output/weights//ENSG00000166582.wgt.RDat	ENSG00000166582	  4.9	1.1e-06	  4.9	1	  4.9	1.1e-06
/data/songy4/twas/output/weights//ENSG00000108557.wgt.RDat	ENSG00000108557	  4.7	3.2e-06	  4.7	1	  4.7	3.2e-06
/data/songy4/twas/output/weights//ENSG00000167543.wgt.RDat	ENSG00000167543	 -3.9	9.1e-05	 -3.9	1	 -3.9	9.2e-05
/data/songy4/twas/output/weights//ENSG00000131470.wgt.RDat	ENSG00000131470	 -6.0	1.7e-09	 -6.0	1	 -6.0	1.6e-09
/data/songy4/twas/output/weights//ENSG00000004939.wgt.RDat	ENSG00000004939	  5.6	2.1e-08	  5.6	1	  5.6	2.1e-08
/data/songy4/twas/output/weights//ENSG00000030582.wgt.RDat	ENSG00000030582	  6.1	9.5e-10	  6.1	1	  6.1	9.4e-10
/data/songy4/twas/output/weights//ENSG00000176681.wgt.RDat	ENSG00000176681	-18.4	8.9e-76	-18.4	1	-18.4	1.3e-75
/data/songy4/twas/output/weights//ENSG00000185829.wgt.RDat	ENSG00000185829	  5.7	1.5e-08	  5.7	1	  5.7	1.5e-08
/data/songy4/twas/output/weights//ENSG00000136492.wgt.RDat	ENSG00000136492	 -4.8	1.3e-06	 -4.8	1	 -4.8	1.3e-06
