FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/tes/output/weights_control//ENST00000489316.5.wgt.RDat	ENST00000489316.5	 4.8	1.5e-06	-2.2893	   NA	    NA	     NA
/data/songy4/tes/output/weights_control//ENST00000487779.5.wgt.RDat	ENST00000487779.5	 4.6	5.3e-06	 1.2641	0.639	 1.978	4.8e-02
/data/songy4/tes/output/weights_control//ENST00000452875.5.wgt.RDat	ENST00000452875.5	-6.4	1.3e-10	-0.2037	0.250	-0.815	4.1e-01
/data/songy4/tes/output/weights_control//ENST00000454134.1.wgt.RDat	ENST00000454134.1	 6.4	1.3e-10	 0.6960	0.453	 1.537	1.2e-01
/data/songy4/tes/output/weights_control//ENST00000448293.5.wgt.RDat	ENST00000448293.5	-6.4	1.3e-10	-0.1999	0.248	-0.808	4.2e-01
/data/songy4/tes/output/weights_control//ENST00000459839.5.wgt.RDat	ENST00000459839.5	 4.8	1.5e-06	 0.1062	0.138	 0.767	4.4e-01
/data/songy4/tes/output/weights_control//ENST00000459980.1.wgt.RDat	ENST00000459980.1	-4.4	1.2e-05	-0.7511	0.296	-2.535	1.1e-02
/data/songy4/tes/output/weights_control//ENST00000471162.5.wgt.RDat	ENST00000471162.5	-6.4	1.3e-10	-0.2036	0.250	-0.815	4.1e-01
/data/songy4/tes/output/weights_control//ENST00000471522.5.wgt.RDat	ENST00000471522.5	 4.8	1.5e-06	-2.2577	   NA	    NA	     NA
/data/songy4/tes/output/weights_control//ENST00000469616.1.wgt.RDat	ENST00000469616.1	 4.8	1.5e-06	-2.2865	   NA	    NA	     NA
/data/songy4/tes/output/weights_control//ENST00000320474.10.wgt.RDat	ENST00000320474.10	 6.2	4.9e-10	 0.0123	0.063	 0.196	8.4e-01
/data/songy4/tes/output/weights_control//ENST00000395474.7.wgt.RDat	ENST00000395474.7	-6.4	1.3e-10	-0.2551	0.279	-0.914	3.6e-01
/data/songy4/tes/output/weights_control//ENST00000615452.1.wgt.RDat	ENST00000615452.1	-6.4	1.3e-10	-0.2432	0.273	-0.892	3.7e-01
/data/songy4/tes/output/weights_control//ENST00000652669.1.wgt.RDat	ENST00000652669.1	 5.6	2.6e-08	-0.4905	0.228	-2.147	3.2e-02
/data/songy4/tes/output/weights_control//ENST00000652596.1.wgt.RDat	ENST00000652596.1	 6.2	4.9e-10	 0.0381	0.111	 0.345	7.3e-01
/data/songy4/tes/output/weights_control//ENST00000652730.1.wgt.RDat	ENST00000652730.1	 6.1	1.0e-09	-0.1127	0.022	-5.015	5.3e-07
/data/songy4/tes/output/weights_control//ENST00000651509.1.wgt.RDat	ENST00000651509.1	 6.2	4.9e-10	 0.0073	0.048	 0.151	8.8e-01
/data/songy4/tes/output/weights_control//ENST00000651791.1.wgt.RDat	ENST00000651791.1	 5.6	2.2e-08	-0.4765	0.219	-2.176	3.0e-02
/data/songy4/tes/output/weights_control//ENST00000651460.1.wgt.RDat	ENST00000651460.1	 6.2	4.9e-10	 0.0359	0.107	 0.334	7.4e-01
/data/songy4/tes/output/weights_control//ENST00000652111.1.wgt.RDat	ENST00000652111.1	 5.8	7.6e-09	-0.3746	0.151	-2.484	1.3e-02
/data/songy4/tes/output/weights_control//ENST00000651916.1.wgt.RDat	ENST00000651916.1	 6.1	1.1e-09	-0.1260	0.014	-9.153	5.6e-20
/data/songy4/tes/output/weights_control//ENST00000651972.1.wgt.RDat	ENST00000651972.1	 6.2	4.9e-10	 0.0145	0.068	 0.213	8.3e-01
/data/songy4/tes/output/weights_control//ENST00000651254.1.wgt.RDat	ENST00000651254.1	 6.2	4.9e-10	 0.0298	0.098	 0.305	7.6e-01
/data/songy4/tes/output/weights_control//ENST00000651305.1.wgt.RDat	ENST00000651305.1	 6.2	6.0e-10	-0.0039	0.094	-0.042	9.7e-01
/data/songy4/tes/output/weights_control//ENST00000651178.1.wgt.RDat	ENST00000651178.1	 6.2	4.9e-10	 0.1069	0.185	 0.579	5.6e-01
/data/songy4/tes/output/weights_control//ENST00000392781.7.wgt.RDat	ENST00000392781.7	 6.2	4.9e-10	 0.0436	0.118	 0.369	7.1e-01
/data/songy4/tes/output/weights_control//ENST00000392779.6.wgt.RDat	ENST00000392779.6	 6.2	4.9e-10	 0.0234	0.087	 0.270	7.9e-01
/data/songy4/tes/output/weights_control//ENST00000415265.6.wgt.RDat	ENST00000415265.6	-6.4	1.3e-10	-0.1910	0.242	-0.789	4.3e-01
/data/songy4/tes/output/weights_control//ENST00000422318.7.wgt.RDat	ENST00000422318.7	 4.8	1.5e-06	-2.2851	   NA	    NA	     NA
/data/songy4/tes/output/weights_control//ENST00000608424.6.wgt.RDat	ENST00000608424.6	-6.4	1.3e-10	-0.2091	0.253	-0.826	4.1e-01
/data/songy4/tes/output/weights_control//ENST00000610967.4.wgt.RDat	ENST00000610967.4	-6.4	1.3e-10	-0.2282	0.264	-0.864	3.9e-01
/data/songy4/tes/output/weights_control//ENST00000607203.1.wgt.RDat	ENST00000607203.1	-4.1	4.2e-05	-1.7683	   NA	    NA	     NA
/data/songy4/tes/output/weights_control//ENST00000420783.7.wgt.RDat	ENST00000420783.7	-6.4	1.3e-10	-0.1981	0.246	-0.804	4.2e-01
