FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/tes/output/weights_control//ENST00000529894.1.wgt.RDat	ENST00000529894.1	 4.3	2.0e-05	-0.56	0.81	-0.696	0.487
/data/songy4/tes/output/weights_control//ENST00000526818.1.wgt.RDat	ENST00000526818.1	-4.9	7.4e-07	-0.32	0.82	-0.394	0.694
/data/songy4/tes/output/weights_control//ENST00000526778.1.wgt.RDat	ENST00000526778.1	 5.2	1.9e-07	-0.65	0.70	-0.938	0.348
/data/songy4/tes/output/weights_control//ENST00000528514.1.wgt.RDat	ENST00000528514.1	-4.1	3.8e-05	 0.47	0.83	 0.565	0.572
/data/songy4/tes/output/weights_control//ENST00000528629.1.wgt.RDat	ENST00000528629.1	 4.8	1.9e-06	-0.44	0.77	-0.570	0.569
/data/songy4/tes/output/weights_control//ENST00000645242.1.wgt.RDat	ENST00000645242.1	 4.3	1.4e-05	-1.55	0.69	-2.239	0.025
/data/songy4/tes/output/weights_control//ENST00000259089.9.wgt.RDat	ENST00000259089.9	 4.3	1.4e-05	-0.44	0.81	-0.538	0.591
/data/songy4/tes/output/weights_control//ENST00000602626.2.wgt.RDat	ENST00000602626.2	 6.3	3.2e-10	 0.96	0.76	 1.268	0.205
/data/songy4/tes/output/weights_control//ENST00000533828.1.wgt.RDat	ENST00000533828.1	 4.9	1.0e-06	-0.04	0.80	-0.051	0.960
/data/songy4/tes/output/weights_control//ENST00000533322.1.wgt.RDat	ENST00000533322.1	 6.8	1.3e-11	 0.58	0.65	 0.892	0.372
