FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/tes/output/weights_control//ENST00000515182.1.wgt.RDat	ENST00000515182.1	 -8.2	1.8e-16	 0.046	0.356	 0.13	9.0e-01
/data/songy4/tes/output/weights_control//ENST00000509465.5.wgt.RDat	ENST00000509465.5	 -8.0	1.4e-15	 0.422	0.379	 1.11	2.7e-01
/data/songy4/tes/output/weights_control//ENST00000502829.1.wgt.RDat	ENST00000502829.1	-11.2	6.9e-29	-0.704	0.269	-2.62	8.8e-03
/data/songy4/tes/output/weights_control//ENST00000502910.5.wgt.RDat	ENST00000502910.5	 -5.8	7.8e-09	 0.407	0.078	 5.24	1.6e-07
/data/songy4/tes/output/weights_control//ENST00000247933.9.wgt.RDat	ENST00000247933.9	-11.2	6.9e-29	-0.081	0.034	-2.36	1.8e-02
/data/songy4/tes/output/weights_control//ENST00000513952.5.wgt.RDat	ENST00000513952.5	-10.1	7.1e-24	-1.356	0.560	-2.42	1.6e-02
/data/songy4/tes/output/weights_control//ENST00000510286.1.wgt.RDat	ENST00000510286.1	 -7.6	4.1e-14	 0.603	0.474	 1.27	2.0e-01
/data/songy4/tes/output/weights_control//ENST00000514192.5.wgt.RDat	ENST00000514192.5	-11.2	6.9e-29	 0.327	0.236	 1.38	1.7e-01
/data/songy4/tes/output/weights_control//ENST00000514224.2.wgt.RDat	ENST00000514224.2	-11.2	6.9e-29	-0.125	0.106	-1.18	2.4e-01
/data/songy4/tes/output/weights_control//ENST00000513192.1.wgt.RDat	ENST00000513192.1	 -3.8	1.4e-04	-0.127	0.687	-0.18	8.5e-01
/data/songy4/tes/output/weights_control//ENST00000502309.1.wgt.RDat	ENST00000502309.1	 -8.5	1.8e-17	-0.280	0.439	-0.64	5.2e-01
/data/songy4/tes/output/weights_control//ENST00000506404.1.wgt.RDat	ENST00000506404.1	  4.9	7.7e-07	 2.602	0.726	 3.58	3.4e-04
/data/songy4/tes/output/weights_control//ENST00000506561.5.wgt.RDat	ENST00000506561.5	-11.2	6.9e-29	-1.140	0.222	-5.13	2.9e-07
/data/songy4/tes/output/weights_control//ENST00000438836.6.wgt.RDat	ENST00000438836.6	 -9.8	9.4e-23	-1.041	0.552	-1.88	5.9e-02
/data/songy4/tes/output/weights_control//ENST00000273814.8.wgt.RDat	ENST00000273814.8	 -8.8	1.5e-18	-0.262	0.502	-0.52	6.0e-01
/data/songy4/tes/output/weights_control//ENST00000508168.5.wgt.RDat	ENST00000508168.5	 -5.8	7.7e-09	 1.804	0.168	10.75	5.8e-27
/data/songy4/tes/output/weights_control//ENST00000622959.3.wgt.RDat	ENST00000622959.3	 -9.9	5.7e-23	-1.101	0.554	-1.99	4.7e-02
/data/songy4/tes/output/weights_control//ENST00000652070.1.wgt.RDat	ENST00000652070.1	-11.2	6.9e-29	-0.637	0.132	-4.84	1.3e-06
