FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/tes/output/weights_case//ENST00000439987.6.wgt.RDat	ENST00000439987.6	 5.0	4.6e-07	 1.45907	0.7260	 2.010	4.4e-02
/data/songy4/tes/output/weights_case//ENST00000530779.1.wgt.RDat	ENST00000530779.1	-4.2	2.6e-05	-5.75365	0.9547	-6.027	1.7e-09
/data/songy4/tes/output/weights_case//ENST00000503629.6.wgt.RDat	ENST00000503629.6	-9.2	5.1e-20	-0.02397	0.0723	-0.332	7.4e-01
/data/songy4/tes/output/weights_case//ENST00000475862.5.wgt.RDat	ENST00000475862.5	-9.2	5.1e-20	-0.00097	0.0146	-0.067	9.5e-01
/data/songy4/tes/output/weights_case//ENST00000253934.9.wgt.RDat	ENST00000253934.9	 4.4	1.1e-05	-0.40443	0.3897	-1.038	3.0e-01
/data/songy4/tes/output/weights_case//ENST00000461455.5.wgt.RDat	ENST00000461455.5	-9.2	5.1e-20	-0.00252	0.0234	-0.107	9.1e-01
/data/songy4/tes/output/weights_case//ENST00000460668.5.wgt.RDat	ENST00000460668.5	-9.2	5.1e-20	-0.00095	0.0144	-0.066	9.5e-01
/data/songy4/tes/output/weights_case//ENST00000478150.1.wgt.RDat	ENST00000478150.1	-9.2	5.1e-20	-0.00327	0.0267	-0.122	9.0e-01
/data/songy4/tes/output/weights_case//ENST00000394998.5.wgt.RDat	ENST00000394998.5	-9.2	5.1e-20	-0.00745	0.0403	-0.185	8.5e-01
/data/songy4/tes/output/weights_case//ENST00000457779.6.wgt.RDat	ENST00000457779.6	-9.2	5.1e-20	-0.00698	0.0390	-0.179	8.6e-01
/data/songy4/tes/output/weights_case//ENST00000468583.1.wgt.RDat	ENST00000468583.1	-9.2	5.1e-20	-0.00095	0.0144	-0.066	9.5e-01
/data/songy4/tes/output/weights_case//ENST00000613541.1.wgt.RDat	ENST00000613541.1	-9.2	5.1e-20	-0.00132	0.0170	-0.078	9.4e-01
/data/songy4/tes/output/weights_case//ENST00000487411.5.wgt.RDat	ENST00000487411.5	-9.2	5.1e-20	-0.00028	0.0078	-0.036	9.7e-01
/data/songy4/tes/output/weights_case//ENST00000564368.1.wgt.RDat	ENST00000564368.1	-9.2	5.1e-20	-0.01008	0.0469	-0.215	8.3e-01
/data/songy4/tes/output/weights_case//ENST00000564603.1.wgt.RDat	ENST00000564603.1	 3.9	8.6e-05	-0.20793	0.0903	-2.303	2.1e-02
/data/songy4/tes/output/weights_case//ENST00000493902.5.wgt.RDat	ENST00000493902.5	-9.2	5.1e-20	-0.00503	0.0331	-0.152	8.8e-01
/data/songy4/tes/output/weights_case//ENST00000561954.1.wgt.RDat	ENST00000561954.1	 5.0	4.6e-07	 1.63849	0.7571	 2.164	3.0e-02
/data/songy4/tes/output/weights_case//ENST00000570266.2.wgt.RDat	ENST00000570266.2	-9.2	5.1e-20	-0.00881	0.0438	-0.201	8.4e-01
/data/songy4/tes/output/weights_case//ENST00000579767.1.wgt.RDat	ENST00000579767.1	-9.2	5.1e-20	-0.25177	0.2328	-1.081	2.8e-01
/data/songy4/tes/output/weights_case//ENST00000313843.8.wgt.RDat	ENST00000313843.8	-9.2	5.1e-20	-0.00074	0.0127	-0.058	9.5e-01
/data/songy4/tes/output/weights_case//ENST00000570025.1.wgt.RDat	ENST00000570025.1	-9.2	5.1e-20	-0.19147	0.2034	-0.941	3.5e-01
/data/songy4/tes/output/weights_case//ENST00000486660.1.wgt.RDat	ENST00000486660.1	-9.2	5.1e-20	-0.01722	0.0613	-0.281	7.8e-01
/data/songy4/tes/output/weights_case//ENST00000565298.5.wgt.RDat	ENST00000565298.5	 4.0	7.1e-05	 1.18211	0.8442	 1.400	1.6e-01
/data/songy4/tes/output/weights_case//ENST00000565483.1.wgt.RDat	ENST00000565483.1	-9.2	5.1e-20	-0.00184	0.0200	-0.092	9.3e-01
/data/songy4/tes/output/weights_case//ENST00000652764.1.wgt.RDat	ENST00000652764.1	-9.2	5.1e-20	-0.10368	0.1500	-0.691	4.9e-01
/data/songy4/tes/output/weights_case//ENST00000566264.2.wgt.RDat	ENST00000566264.2	 4.5	7.8e-06	-0.31348	0.3949	-0.794	4.3e-01
/data/songy4/tes/output/weights_case//ENST00000566353.6.wgt.RDat	ENST00000566353.6	-9.2	5.1e-20	-0.00019	0.0065	-0.030	9.8e-01
